,joy,hate,love,sorrow,anxiety,surprise,anger,expect
长远  ,0,0,1,0,0,0,0,1
改进  ,1,0,1,0,0,0,0,0
很多  ,1,1,1,1,1,0,1,0
取长补短  ,1,0,1,0,0,0,0,0
互相学习  ,1,0,0,0,0,0,0,0
道理  ,0,0,1,0,1,0,0,1
超强  ,0,0,1,0,0,0,0,0
赢得了  ,0,0,1,0,0,0,0,0
哗然  ,0,0,0,0,1,1,0,0
祸不单行  ,0,0,0,1,0,0,0,0
全力以赴  ,1,0,1,0,0,0,0,1
泪流满面  ,0,0,0,1,0,0,0,0
虽败犹荣  ,0,0,1,1,0,0,0,0
败将  ,0,0,0,1,0,0,0,0
陶醉  ,1,0,1,0,0,0,0,0
叫座  ,1,0,1,0,0,0,0,0
闪闪烁烁  ,0,0,1,0,0,0,0,0
妙不可言  ,1,0,1,0,0,0,0,0
优闲  ,1,0,1,0,0,0,0,0
懒散  ,0,1,0,0,1,0,1,0
崇尚  ,0,0,1,0,0,0,0,1
宽松  ,1,0,1,0,0,0,0,0
为何  ,0,1,0,1,1,1,1,0
婀娜  ,0,0,1,0,0,0,0,0
迷醉  ,1,0,1,0,0,0,0,0
点亮  ,0,0,1,0,0,0,0,0
五彩  ,1,0,1,0,0,0,0,0
面目全非  ,0,0,0,1,1,1,0,0
和善  ,0,0,1,0,0,0,0,0
可好  ,1,0,1,0,0,0,0,0
俏丽  ,0,0,1,0,0,0,0,0
悦耳  ,0,0,1,0,0,0,0,0
世外桃源  ,1,0,1,0,0,0,0,0
抹杀  ,0,0,0,0,1,0,0,0
煞风景  ,0,0,0,1,1,0,0,0
快乐地  ,1,0,1,0,0,0,0,0
焦急  ,0,0,0,0,1,0,0,0
甜蜜  ,1,0,1,0,0,0,0,0
沉迷  ,0,1,1,0,1,0,0,0
有意思  ,1,0,1,0,0,0,0,0
沉没  ,0,0,0,1,1,0,0,0
好运气  ,1,0,0,0,0,0,0,0
爽爽  ,1,0,0,0,0,0,0,0
成效  ,1,0,0,0,0,0,0,0
醒悟  ,1,0,1,1,1,0,0,0
守护  ,1,0,1,0,0,0,0,0
恼怒  ,0,0,0,0,0,0,1,0
厌学  ,0,0,0,0,1,0,0,0
笑脸  ,1,0,1,0,0,0,0,0
神清气爽  ,1,0,1,0,0,0,0,0
实实在在  ,1,0,1,0,1,0,0,0
一线光  ,0,0,1,0,0,0,0,1
负担  ,0,1,0,1,1,0,0,0
欠缴  ,0,0,0,0,1,0,0,0
穷困潦倒  ,0,0,0,0,1,0,0,0
鬼魅  ,0,1,1,0,0,0,0,0
帮忙  ,1,0,1,0,0,0,0,1
数落  ,0,1,0,0,0,0,1,0
弃妇  ,0,0,0,1,0,0,0,0
山穷水尽  ,0,1,0,1,1,0,0,0
俊美  ,1,0,1,0,0,0,0,0
健将  ,0,0,1,0,0,0,0,0
高材生  ,0,0,1,0,0,0,0,0
慈母  ,0,0,1,0,0,0,0,0
爱女  ,0,0,1,0,0,0,0,0
重创  ,0,0,0,1,1,0,0,0
失明  ,0,1,0,1,1,0,0,0
衰退  ,0,1,0,1,1,0,0,0
吸毒  ,0,1,0,0,0,0,0,0
万物之灵  ,0,0,1,0,0,0,0,0
品学兼优  ,0,0,1,0,0,0,0,0
莫非  ,0,0,0,0,1,1,0,0
失手  ,0,1,0,1,1,0,0,0
坎坷  ,0,0,1,1,1,0,0,0
相助  ,0,0,1,0,0,0,0,0
重新  ,1,0,1,1,0,0,0,1
走运  ,1,0,0,0,0,0,0,0
危急  ,0,0,0,1,1,0,0,0
扶助  ,0,0,1,0,0,0,0,0
受惠人  ,1,0,0,0,0,0,0,0
幸运欣喜若狂  ,1,0,0,0,0,0,0,0
好心人  ,0,0,1,0,0,0,0,0
绝境  ,0,1,0,1,1,0,0,0
邂逅  ,1,0,1,0,0,0,0,1
汇聚  ,1,0,0,0,0,0,0,0
偶遇  ,1,0,1,0,0,0,0,0
不约而同  ,1,0,1,0,0,0,0,1
相救  ,0,0,1,0,0,0,0,0
一面之缘  ,0,0,1,0,0,0,0,0
见义勇为  ,0,0,1,0,0,0,0,0
回赠  ,0,0,1,0,0,0,0,0
赠予  ,1,0,1,0,0,0,0,0
有缘  ,1,0,1,1,1,0,0,0
尽头  ,0,0,0,1,1,0,0,0
慈善  ,0,0,1,0,0,0,0,0
行善  ,0,0,1,0,0,0,0,0
乐施  ,0,0,1,0,0,0,0,0
刚巧  ,1,0,0,0,0,1,0,0
友情  ,1,0,1,0,0,0,0,0
伴随  ,1,0,1,0,0,0,0,1
物欲横流  ,0,1,0,0,1,0,1,0
居心叵测  ,0,1,0,0,0,0,1,0
虐待  ,0,1,0,0,1,0,1,0
悲哀  ,0,1,0,1,1,0,0,0
败笔  ,0,1,0,1,0,0,0,0
良知  ,0,0,1,0,0,0,0,0
缥缈  ,0,0,1,0,1,0,0,0
排斥  ,0,1,0,0,1,0,0,0
侵蚀  ,0,1,0,1,1,0,0,0
糟蹋  ,0,1,0,1,1,0,1,0
玷污  ,0,1,0,1,1,0,0,0
侮辱  ,0,1,0,1,1,0,1,0
切勿  ,0,0,0,0,0,0,0,1
真爱  ,1,0,1,0,0,0,0,0
来之不易  ,1,0,1,0,1,0,0,0
敬请  ,0,0,0,0,0,0,0,1
悲切  ,0,0,0,1,0,0,0,0
人去楼空  ,0,0,0,1,1,0,0,0
丑陋  ,0,1,0,1,1,0,1,0
低贱  ,0,1,0,0,0,0,0,0
肮脏  ,0,1,0,0,1,0,0,0
无耻  ,0,1,0,0,0,0,1,0
出卖  ,0,1,0,1,1,0,1,0
卑鄙  ,0,1,0,0,0,0,1,0
寻求  ,1,0,1,0,0,0,0,1
回心转意  ,0,0,1,0,0,0,0,1
第三者  ,0,1,0,0,0,0,0,0
自尊  ,1,0,1,0,0,0,0,0
绿帽子  ,0,0,0,0,0,0,1,0
默默无闻  ,0,0,1,0,1,0,0,0
出轨  ,0,1,0,0,0,0,1,0
迷人  ,1,0,1,0,0,0,0,0
一厢情愿  ,0,0,1,1,1,0,0,1
摧残  ,0,1,0,1,1,0,1,0
内疚  ,0,0,0,1,1,0,0,0
洒脱  ,1,0,1,0,0,0,0,0
风度  ,0,0,1,0,0,0,0,0
解脱  ,1,0,1,0,0,0,0,1
惊涛骇浪  ,0,0,0,0,1,0,0,0
相伴  ,1,0,1,0,0,0,0,1
贵在  ,0,0,1,0,0,0,0,0
回馈  ,1,0,1,0,0,0,0,0
生日  ,1,0,1,0,0,0,0,1
耳光  ,0,1,0,1,0,0,1,0
愣住  ,0,0,0,0,1,1,0,0
礼物  ,1,0,1,0,0,0,0,0
人见人爱  ,0,0,1,0,0,0,0,0
稚嫩  ,0,0,1,1,1,0,0,0
做错  ,0,0,0,0,1,0,0,0
约束  ,0,1,0,1,1,0,0,1
懂事  ,1,0,1,0,0,0,0,0
请教  ,1,0,1,0,0,0,0,1
开窍  ,1,0,0,0,0,0,0,0
人才济济  ,1,0,0,0,0,0,0,0
厉害  ,1,1,1,1,1,1,0,0
立足之地  ,0,0,0,0,0,0,0,1
过硬  ,1,0,1,0,0,0,0,0
我打  ,0,0,0,1,0,0,0,0
怎么会  ,0,0,0,0,1,1,1,0
投降  ,0,0,0,1,1,0,0,0
宝宝  ,1,0,1,0,0,0,0,0
惦记  ,1,0,1,0,1,0,0,1
多彩的  ,1,0,1,0,0,0,0,0
乘风破浪  ,1,0,0,0,0,0,0,0
亲亲  ,0,0,1,0,0,0,0,0
果然  ,1,0,0,0,0,1,0,0
兴致  ,1,0,1,0,0,0,0,0
吓坏  ,0,0,0,1,1,1,0,0
真乖  ,0,0,1,0,0,0,0,0
纠正  ,1,0,0,0,1,0,0,1
艰巨  ,0,0,0,0,1,0,0,0
摸摸  ,0,0,1,0,0,0,0,0
嘻嘻  ,1,0,0,0,1,0,0,0
理解  ,1,0,1,0,0,0,0,1
心连心  ,0,0,1,0,0,0,0,0
灰暗  ,0,1,0,1,1,0,0,0
枯涩  ,0,0,0,1,1,0,0,0
苦涩  ,0,1,1,1,1,0,0,0
撞死  ,0,1,0,1,1,0,0,0
所谓  ,0,1,0,1,1,0,1,0
无所谓  ,1,1,1,1,1,0,0,0
克制  ,0,0,0,0,1,0,0,0
自恋  ,0,1,1,0,1,0,0,0
原谅  ,1,0,1,1,1,0,0,1
懦弱  ,0,1,0,1,1,0,1,0
假意  ,0,1,0,1,0,0,1,0
维护  ,1,0,1,0,0,0,0,1
苍白  ,0,0,0,1,1,0,0,0
自卑  ,0,1,0,1,1,0,0,0
久违  ,1,0,1,0,0,0,0,1
陌生人  ,0,1,0,1,1,0,0,0
偶然  ,1,1,1,0,0,1,0,1
重逢  ,1,0,1,0,0,0,0,1
慨叹  ,0,0,0,1,1,1,0,0
傻丫头  ,0,0,1,0,1,0,0,0
日复一日  ,0,1,1,1,1,0,0,0
孜孜不倦  ,0,0,1,0,0,0,0,0
诙谐  ,0,0,1,0,0,0,0,0
爱恋  ,1,0,1,0,0,0,0,0
牵手  ,0,0,1,0,0,0,0,0
相拥  ,0,0,1,0,0,0,0,0
相亲  ,1,0,1,0,0,0,0,0
紧紧  ,0,0,1,0,1,0,0,0
孤寂  ,0,0,0,1,1,0,0,0
放手  ,0,0,0,1,1,0,0,1
酷热  ,0,1,0,0,1,0,0,0
下雨  ,1,0,0,1,1,0,0,0
板房  ,0,0,0,0,1,0,0,0
老人家  ,0,0,1,0,1,0,0,0
冰雹  ,0,1,0,0,1,0,0,0
水龙卷  ,0,0,0,0,1,0,0,0
彩虹  ,0,0,1,0,0,0,0,0
认为  ,0,1,1,0,1,0,0,1
引发  ,1,0,1,0,1,0,0,0
环保  ,1,0,1,0,0,0,0,0
知识  ,0,0,1,0,1,0,0,0
预报  ,1,0,0,0,0,0,0,0
私家  ,0,0,1,0,0,0,0,0
提早  ,0,0,1,0,0,0,0,0
通知  ,0,0,1,0,0,0,0,0
公布  ,1,0,0,0,0,0,0,1
就要  ,0,1,0,0,1,0,0,1
贴身  ,0,0,1,0,0,0,0,0
作用  ,1,0,1,0,0,0,0,1
改善  ,1,0,1,0,0,0,0,1
转述  ,0,0,1,0,0,0,0,0
道听途说  ,0,1,0,0,0,0,0,0
不少  ,1,1,1,0,1,0,1,0
安排  ,0,1,1,0,1,0,0,1
运气  ,0,0,1,0,0,0,0,0
传送  ,0,0,1,0,0,0,0,0
表示  ,1,0,1,0,0,0,0,0
乐意  ,1,0,1,0,0,0,0,1
啧啧称奇  ,0,0,0,0,0,1,0,0
感觉  ,1,0,1,0,1,0,0,0
畅通  ,1,0,0,0,0,0,0,0
兴冲冲  ,1,0,0,0,0,0,0,0
贺语  ,0,0,1,0,0,0,0,0
用武之地  ,1,0,0,0,0,0,0,0
平平安安  ,1,0,1,0,0,0,0,0
艰难  ,0,1,0,1,1,0,0,0
顺心  ,1,0,0,0,0,0,0,0
希冀  ,0,0,1,0,0,0,0,1
好运  ,1,0,1,0,0,0,0,1
磨难  ,0,1,0,1,1,0,0,0
阻挡  ,0,1,0,0,1,0,1,0
波折  ,0,1,0,1,1,0,0,0
称羡  ,1,0,0,0,0,0,0,0
关切  ,1,0,1,0,0,0,0,1
心酸  ,0,0,0,1,1,0,0,0
惭愧  ,0,0,0,1,1,0,0,0
后知后觉  ,0,1,0,0,1,0,0,0
挫折  ,0,1,0,1,1,0,0,0
避风港  ,0,0,1,0,0,0,0,1
泪眼  ,0,0,0,1,1,0,0,0
淡淡的  ,0,0,1,1,0,0,0,0
埋葬  ,0,1,0,1,1,0,0,0
痛失  ,0,0,0,1,1,0,0,0
爱侣  ,0,0,1,0,0,0,0,0
绝食  ,0,0,0,1,0,0,0,0
深厚  ,0,0,1,0,0,0,0,0
疼爱  ,1,0,1,0,0,0,0,0
失落  ,0,0,0,1,1,0,0,0
严谨  ,0,0,1,0,0,0,0,0
嗜好  ,0,0,1,0,0,0,0,0
荣华富贵  ,0,0,1,0,0,0,0,0
开开心心  ,1,0,0,0,0,0,0,0
作伴  ,0,0,1,0,0,0,0,0
无序  ,0,0,0,0,1,0,0,0
取代  ,0,0,0,1,0,0,1,0
理所当然  ,1,0,1,0,0,0,1,0
坟墓  ,0,1,0,1,1,0,0,0
清贫如洗　也一样幸福  ,0,0,0,0,1,0,0,0
所剩无几  ,0,0,0,0,1,0,0,0
囊中羞涩  ,0,0,0,0,1,0,0,0
巴不得  ,1,1,0,0,0,0,0,1
一贫如洗  ,0,0,0,1,1,0,0,0
凉爽  ,1,0,1,0,0,0,0,0
新鲜空气  ,0,0,1,0,0,0,0,0
胜仗  ,1,0,0,0,0,0,0,0
昂首挺胸  ,1,0,0,0,0,0,0,0
凯旋  ,1,0,0,0,0,0,0,0
清贫  ,0,1,0,1,1,0,0,0
窘迫  ,0,1,0,1,1,0,0,0
举债  ,0,0,0,1,1,0,0,0
怨言  ,0,1,0,0,1,0,1,0
堂堂正正  ,1,0,0,0,0,0,0,0
新婚  ,1,0,0,0,0,0,0,0
怒号  ,0,0,0,0,1,0,0,0
淫威  ,0,1,0,0,0,0,0,0
省吃俭用  ,0,0,1,1,1,0,0,0
奢侈品  ,0,1,1,0,1,0,0,0
满足感  ,1,0,1,0,0,0,0,0
难忘  ,1,0,1,1,1,1,0,0
彷徨  ,0,0,0,1,1,0,1,0
失意  ,0,0,0,1,1,0,0,0
光芒  ,1,0,1,0,0,0,0,0
奔忙  ,0,0,0,0,1,0,0,0
活力  ,1,0,1,0,0,0,0,0
升华  ,1,0,1,0,0,0,0,0
清澈  ,0,0,1,0,0,0,0,0
烦杂  ,0,1,0,0,1,0,0,0
铜臭  ,0,1,0,0,0,0,0,0
挚爱  ,0,0,1,0,0,0,0,0
困苦  ,0,0,0,1,1,0,0,0
嗟来之食  ,0,1,0,1,0,0,1,0
难于  ,0,0,0,1,1,0,0,0
饥饿  ,0,0,0,0,1,0,0,0
忙活  ,1,0,0,0,1,0,0,0
感天动地  ,1,0,0,0,0,0,0,0
柔情  ,1,0,1,0,0,0,0,0
顽皮  ,0,0,1,0,1,0,1,0
嫌我  ,0,1,0,0,1,0,1,0
小错  ,0,0,0,0,0,0,1,0
不思悔改  ,0,0,0,0,1,0,0,0
赔不是  ,0,0,0,0,1,0,0,0
硬挺  ,0,0,0,0,1,0,0,0
硬朗  ,1,0,1,0,0,0,0,0
大不如前  ,0,0,0,0,1,0,0,0
慈爱  ,0,0,1,0,0,0,0,0
彻骨  ,0,0,0,1,1,0,0,0
不由得  ,1,0,1,0,1,1,0,0
美滋滋  ,1,0,1,0,0,0,0,0
小脸  ,0,0,1,0,0,0,0,0
甜言蜜语  ,0,1,1,0,0,0,0,0
直愣愣  ,0,0,0,0,0,1,0,0
想不想  ,0,0,0,0,0,0,0,1
娇贵  ,0,0,1,0,0,0,0,0
养护  ,0,0,1,0,0,0,0,0
坏蛋  ,0,1,1,0,0,0,0,0
神仙  ,0,0,1,0,0,0,0,0
顺着  ,1,0,1,0,0,0,0,0
偷走  ,0,1,0,1,1,0,1,0
防止  ,1,1,1,0,1,0,0,1
哈哈哈  ,1,0,0,0,0,0,0,0
得意  ,1,0,1,0,0,0,0,0
温和  ,0,0,1,0,0,0,0,0
工整  ,0,0,1,0,0,0,0,0
得心应手  ,1,0,1,0,0,0,0,0
粗心  ,0,0,0,0,1,0,0,0
沉思  ,0,0,0,1,1,0,0,0
新年  ,1,0,1,0,0,0,0,1
吵架  ,0,1,0,1,1,0,1,0
不管不顾  ,0,1,0,1,0,0,1,0
影响到  ,0,0,0,0,1,0,0,0
允许  ,1,0,1,0,0,0,0,1
外人  ,0,0,0,1,0,0,0,0
痛痛快快  ,1,0,1,0,0,0,0,1
伤心  ,0,0,0,1,1,0,0,0
委曲  ,0,0,0,1,1,0,0,0
掏空  ,0,0,0,1,1,0,0,0
真真正正  ,1,0,0,0,0,0,0,0
酸甜苦辣  ,1,0,0,1,1,0,0,0
再见  ,1,0,0,1,0,0,0,0
完完整整  ,1,0,0,0,0,0,0,0
死去  ,0,0,0,1,1,0,0,0
不得不  ,0,0,0,1,1,1,1,0
借口  ,0,1,0,0,1,0,1,0
离婚  ,0,0,0,1,1,0,0,0
辱骂  ,0,1,0,0,0,0,1,0
走神  ,0,1,0,0,1,0,1,0
监狱  ,0,1,0,0,0,0,0,0
回来  ,1,0,1,0,0,0,0,1
时髦  ,0,0,1,0,0,0,0,0
喃喃  ,0,0,1,1,0,0,0,0
老太婆  ,0,0,0,1,0,0,0,0
惆怅  ,0,0,0,1,1,0,0,0
远去  ,0,0,0,1,0,0,0,0
薄雾  ,0,0,0,1,0,0,0,0
色彩鲜明  ,0,0,1,0,0,0,0,0
订婚  ,1,0,0,0,0,0,0,0
感慨万分  ,1,0,0,0,0,0,0,0
未婚夫  ,0,0,1,0,0,0,0,0
礼金  ,1,0,0,0,0,0,0,0
心跳  ,0,0,1,0,1,1,0,0
玫瑰  ,0,0,1,0,0,0,0,0
安全感  ,1,0,1,0,1,0,0,1
帅气  ,0,0,1,0,0,0,0,0
低调  ,0,1,1,0,1,0,0,0
平淡  ,0,1,1,1,1,0,1,0
不甘  ,0,1,0,1,1,0,1,1
短暂  ,0,1,0,1,1,0,0,0
精力  ,1,0,1,0,0,0,0,0
飘渺  ,0,0,1,0,1,0,0,0
港湾  ,0,0,1,0,0,0,0,0
快乐歌  ,1,0,1,0,0,0,0,0
万事如意  ,1,0,1,0,0,0,0,0
不要  ,0,1,0,0,1,0,1,1
压抑  ,0,1,0,1,1,0,0,0
快点  ,0,0,0,0,0,0,0,1
结束  ,1,1,0,1,1,1,0,0
造成  ,0,1,0,0,1,0,1,0
一切  ,1,0,1,0,1,0,0,1
严格  ,1,1,1,0,1,0,0,1
标准  ,0,0,1,0,0,0,0,0
通畅  ,1,0,1,0,0,0,0,0
职业  ,0,0,1,0,0,0,0,0
有礼  ,0,0,1,0,0,0,0,0
啼笑皆非  ,1,1,0,1,1,0,0,0
不再  ,0,0,0,0,0,0,0,1
公开  ,1,0,1,0,0,0,0,1
出现  ,1,0,1,0,1,1,1,1
花费  ,0,0,0,0,1,0,1,0
巨资  ,0,0,0,0,0,0,1,0
见证  ,1,0,1,1,0,0,0,1
标志  ,0,0,1,0,0,0,0,0
转变  ,1,0,1,0,1,0,0,1
监测  ,0,0,1,0,0,0,0,0
整整  ,0,0,0,0,1,1,0,0
规范  ,0,0,1,0,0,0,0,1
关系  ,0,0,0,0,1,0,0,0
执著  ,1,0,1,0,0,0,0,0
再多  ,0,0,1,0,0,0,0,0
完美无缺  ,0,0,1,0,0,0,0,0
比不上  ,1,0,1,1,1,0,0,0
情结  ,0,0,1,0,0,0,0,0
象征  ,0,0,1,0,0,0,0,0
足够  ,1,0,1,0,1,0,0,1
举手  ,0,0,1,0,0,0,0,0
至于  ,0,0,0,0,1,0,0,0
懈怠  ,0,1,0,1,1,0,1,0
我流  ,0,0,0,1,0,0,0,0
真切  ,1,0,1,0,0,0,0,0
傻傻的  ,0,1,1,1,1,0,0,0
想知道  ,0,0,0,0,0,0,0,1
有没有  ,0,0,0,0,1,0,0,1
在想  ,1,0,1,0,0,0,0,0
痴痴  ,0,0,1,0,0,0,0,1
呼唤  ,0,0,1,0,1,0,0,1
我想  ,0,0,1,0,1,0,0,1
想为  ,0,0,0,0,0,0,0,1
归来  ,1,0,1,0,0,0,0,0
温热  ,1,0,1,0,0,0,0,0
驱散  ,1,0,0,0,0,0,0,0
轻柔  ,0,0,1,0,0,0,0,0
驿动  ,0,0,0,1,0,0,0,0
脱离  ,1,0,0,0,1,0,0,1
发呆  ,0,1,0,1,1,0,1,0
愁绪  ,0,0,0,1,1,0,0,0
阻止  ,0,1,0,0,1,0,1,0
笑起来  ,1,0,0,0,0,0,0,0
尽量  ,0,0,1,0,0,0,0,1
诉说  ,1,0,1,1,1,0,0,0
吊死  ,0,1,0,1,0,0,0,0
悔改  ,1,0,0,0,0,0,0,0
转机  ,1,0,0,0,0,0,0,1
恋人  ,1,0,1,0,0,0,0,0
辩解  ,0,1,0,0,1,0,0,1
现实  ,0,1,1,1,1,0,0,0
拼搏  ,0,0,1,0,1,0,0,1
追回  ,0,0,0,0,0,0,0,1
恋情  ,0,0,1,0,0,0,0,0
甘心  ,1,0,1,0,0,0,0,0
打拼  ,1,0,1,0,0,0,0,1
我对  ,1,0,0,0,0,0,0,0
献给  ,1,0,1,0,0,0,0,0
陪伴  ,1,0,1,0,0,0,0,1
风风雨雨  ,0,0,0,0,1,0,0,0
哭哭笑笑  ,1,0,0,1,0,0,0,0
嘿嘿  ,1,1,1,0,0,0,0,0
缘分  ,0,0,1,0,0,0,0,0
亲手  ,0,0,1,0,0,0,0,1
哇哇  ,1,0,0,1,1,0,0,0
甜甜的  ,1,0,1,0,0,0,0,0
香香的  ,0,0,1,0,0,0,0,0
饱饱  ,1,0,1,0,0,0,0,0
长命百岁  ,1,0,1,0,0,0,0,0
暖洋洋  ,1,0,1,0,0,0,0,0
好不好  ,0,0,0,0,1,0,0,1
欺负  ,0,1,0,1,1,0,1,0
对不对  ,0,0,0,0,0,0,0,1
胡说八道  ,0,0,0,0,0,0,1,0
挑食  ,0,1,0,0,0,0,0,0
适得其反  ,0,1,0,1,1,0,0,0
快快  ,0,0,0,0,0,0,0,1
爱卿  ,0,0,1,0,0,0,0,0
不要紧  ,1,0,0,0,0,0,0,0
隆恩  ,0,0,1,0,0,0,0,0
咯噔  ,0,0,0,0,1,0,0,0
故意  ,0,1,1,1,1,0,1,1
丢三落四  ,0,0,0,0,1,0,0,0
难过  ,0,0,0,1,1,0,0,0
凶的  ,0,0,0,0,1,0,1,0
翻来覆去  ,0,0,0,0,1,0,0,0
心软  ,0,0,1,1,0,0,0,0
吓的  ,0,0,0,0,1,0,0,0
别哭  ,0,0,0,0,1,0,0,1
不知不觉  ,1,0,1,1,1,1,0,0
晕晕的  ,0,0,0,0,1,0,0,0
在平  ,0,0,1,1,0,0,0,0
无计划  ,0,0,0,0,1,0,0,0
虚度  ,0,1,0,1,1,0,1,0
不知道  ,0,0,0,1,1,1,0,1
如何  ,0,0,0,1,1,1,0,1
退化  ,0,0,0,1,1,0,0,0
展望  ,1,0,0,0,0,0,0,1
锻炼  ,1,0,1,0,0,0,0,1
承担  ,1,0,1,1,1,0,0,1
贫穷  ,0,1,0,1,1,0,0,0
也难  ,0,0,0,0,1,0,0,0
想做  ,0,0,1,0,0,0,0,1
死守  ,0,0,0,1,0,0,0,0
清醒  ,1,0,1,0,1,0,0,0
封存  ,0,0,0,1,0,0,0,0
严寒  ,0,1,0,0,1,0,0,0
颓废  ,0,1,0,1,1,0,1,0
苦难  ,0,1,0,1,1,0,0,0
赏析  ,0,0,1,0,0,0,0,0
纯纯  ,0,0,1,0,0,0,0,0
弥散  ,0,0,1,0,0,0,0,0
车水马龙  ,1,0,1,0,0,0,0,0
眼红  ,0,1,0,0,0,0,0,1
孝顺  ,1,0,1,0,0,0,0,0
体贴入微  ,0,0,1,0,0,0,0,0
叹气  ,0,1,0,1,1,0,1,0
担忧  ,0,0,0,1,1,0,0,0
乐呵呵  ,1,0,0,0,0,0,0,0
娘娘腔  ,0,1,0,0,0,0,0,0
娱乐  ,1,0,1,0,0,0,0,0
逗人  ,0,0,1,0,0,0,0,0
平衡  ,1,0,1,0,0,0,0,0
披露  ,0,1,1,0,1,0,1,0
丑闻  ,0,1,0,0,0,0,0,0
非礼  ,0,1,0,0,0,0,0,0
追究  ,0,0,0,0,1,0,1,0
轻薄  ,0,1,1,0,0,0,0,0
是非  ,0,1,0,0,1,0,0,0
赏心悦目  ,0,0,1,0,0,0,0,0
真累  ,0,1,0,0,1,0,0,0
否认  ,0,1,0,0,1,0,1,0
挽回  ,1,0,1,0,1,0,0,1
理睬  ,1,1,1,0,0,0,0,0
带走  ,0,0,0,1,1,0,0,0
回复  ,1,0,0,0,0,0,0,0
爱意  ,0,0,1,0,0,0,0,0
反目成仇  ,0,1,0,1,1,0,0,0
谣言  ,0,1,0,0,1,0,0,0
威胁利诱  ,0,1,0,0,0,0,0,0
复仇  ,0,1,0,0,0,0,0,0
婚礼  ,1,0,0,0,0,0,0,0
偷拍  ,0,1,0,0,0,0,1,0
糊涂  ,0,1,0,1,1,0,1,0
难怪  ,1,1,1,1,1,1,0,0
反正  ,1,1,0,0,1,0,1,0
常见  ,0,1,0,0,0,0,0,0
本来  ,1,0,1,0,1,0,0,1
拦住  ,1,0,0,0,0,0,0,0
利润  ,0,1,1,0,0,0,0,0
好多  ,1,0,1,0,1,0,0,0
薄利多销  ,0,0,1,0,0,0,0,0
损失  ,0,1,0,1,1,0,0,0
协调  ,1,0,1,0,0,0,0,0
固执  ,1,1,1,0,1,0,1,0
公费  ,1,0,0,0,0,0,0,0
报销  ,1,0,1,0,1,0,0,0
不在乎  ,1,1,0,1,1,0,1,0
绕弯子  ,0,0,0,0,0,0,1,0
躲开  ,1,0,0,0,0,0,1,0
行不通  ,0,0,0,0,1,0,1,0
表功  ,1,0,0,0,0,0,0,0
盈利  ,1,0,1,0,0,0,0,0
涨价  ,0,0,0,0,1,0,1,0
亏损  ,0,0,0,1,1,0,0,0
涨了  ,1,0,0,0,0,0,0,0
逻辑思维  ,1,0,0,0,0,0,0,0
恐惧症  ,0,0,0,0,1,0,0,0
只想  ,0,0,1,0,0,0,0,1
花季  ,0,0,1,0,0,0,0,0
雨季  ,0,0,1,0,0,0,0,0
喜事  ,1,0,0,0,0,0,0,0
热乎乎  ,1,0,0,0,0,0,0,0
瘫软  ,0,0,0,0,1,0,0,0
暗示  ,0,0,0,0,1,0,0,1
装作  ,0,1,0,1,1,0,1,0
慌慌张张  ,0,0,0,0,1,0,0,0
礼貌  ,0,0,1,0,0,0,0,0
轻言细语  ,0,0,1,0,0,0,0,0
担子  ,0,1,0,0,1,0,0,0
积蓄  ,0,0,1,0,0,0,0,0
安稳  ,1,0,1,0,0,0,0,0
吓得  ,0,0,0,0,1,0,0,0
发抖  ,0,0,0,1,1,1,0,0
虚惊  ,0,0,0,0,1,1,0,0
赚钱  ,1,1,1,0,0,0,0,1
真希望  ,0,0,0,0,0,0,0,1
欣慰  ,1,0,1,0,0,0,0,0
聊天  ,1,0,1,0,0,0,0,0
报答  ,0,0,1,0,0,0,0,1
乐事  ,1,0,1,0,0,0,0,0
捧腹大笑  ,1,0,0,0,0,0,0,0
笑得  ,1,0,1,0,0,0,0,0
正经  ,1,0,1,0,0,0,0,0
匆促  ,0,0,0,0,1,0,0,0
依依不舍  ,0,0,1,1,1,0,0,0
赶快  ,1,0,0,0,1,0,0,1
狂喊  ,0,0,0,1,0,0,0,0
飞奔  ,1,0,1,0,1,0,0,1
爱惜  ,0,0,1,0,0,0,0,0
傻笑  ,1,0,1,0,0,0,0,0
痛哭  ,0,0,0,1,0,0,0,0
吃不消  ,0,1,0,0,1,0,0,0
想抱  ,0,0,1,0,0,0,0,0
慰问  ,0,0,1,0,0,0,0,0
称赞  ,1,0,1,0,0,0,0,0
眉开眼笑  ,1,0,0,0,0,0,0,0
亲热  ,1,0,1,0,0,0,0,0
整整齐齐  ,0,0,1,0,0,0,0,0
笑呵呵  ,1,0,0,0,0,0,0,0
握手  ,1,0,1,0,0,0,0,0
英明  ,1,0,1,0,0,0,0,0
悠闲自在  ,1,0,0,0,0,0,0,0
安享晚年  ,1,0,1,0,0,0,0,0
孝敬  ,1,0,1,0,0,0,0,0
发扬  ,1,0,1,0,0,0,0,1
透不过气  ,0,0,0,1,1,0,0,0
千千迢迢  ,0,0,1,0,0,0,0,1
念叨  ,0,1,1,0,1,0,0,1
我呢  ,0,0,1,0,1,0,0,0
何去何从  ,0,0,0,0,1,0,0,0
一无所有  ,0,0,0,1,1,0,0,0
调养  ,0,0,1,0,0,0,0,0
沉稳  ,0,0,1,0,0,0,0,0
信物  ,0,0,1,0,0,0,0,0
